RowId,index,ra,dec,type,const,mag,name,rarad,decrad,bf,bayer,flam,spect,lum,ci,gl,comp,hyg_id,comp_primary,base,id,r1,r2,angle,dso_source,id1,cat1,id2,cat2,dupid,dupcat,display_mag
STAR-3953,,6.396571,-19.785393,Star,CMa,6.61,,,,,,,B8III,334.81121738605384,-0.126,,1,30353,30353,,,,,,,,,,,,,
STAR-3954,,6.398866,-25.577629,Star,CMa,5.61,,,,,,,K5III,479.0711300030745,1.561,,1,30363,30363,,,,,,,,,,,,,
STAR-3955,,6.399195,-52.69566,Star,Car,-0.62,Canopus,,,Alp Car,Alp,,F0Ib,13854.791675667217,0.164,,1,30365,30365,,,,,,,,,,,,,
STAR-3956,,6.400281,-36.707764,Star,Col,5.62,,,,,,,K1II/III,50.72242398926514,1.027,,1,30371,30371,,,,,,,,,,,,,
STAR-3957,,6.400634,8.885014,Star,Mon,6.24,,,,,,,B8Vn,337.5981048554255,-0.06,,1,30375,30375,,,,,,,,,,,,,
STAR-3958,,6.401697,-36.702983,Star,Col,6.84,,,,,,,G6/G8III,35.94181463147148,0.932,,1,30382,30382,,,,,,,,,,,,,
STAR-3959,,6.402867,-11.530088,Star,CMa,5.21,,,,,,,K3III,81.95963204818459,1.23,,1,30384,30384,,,,,,,,,,,,,
STAR-3960,,6.403631,-26.445027,Star,CMa,6.68,,,,,,,K0/K1III+..,180.9672554788791,0.948,,1,30389,30389,,,,,,,,,,,,,
STAR-3961,,6.40385,-60.281325,Star,Pic,5.78,,,,,,,A0V,36.74514791999399,-0.001,,1,30390,30390,,,,,,,,,,,,,
STAR-3962,,6.40483,43.230345,Star,Aur,6.98,,,,,,,G5,61.773185859152,0.98,,1,30393,30393,,,,,,,,,,,,,
STAR-3963,,6.405716,-12.961939,Star,CMa,6.12,,,,,,,B4V,259.4179362118815,-0.076,,1,30395,30395,,,,,,,,,,,,,
STAR-3964,,6.405874,-16.224565,Star,CMa,6.95,,,,,,,A9V,11.587773561551256,0.2,,1,30396,30396,,,,,,,,,,,,,
STAR-3965,,6.406768,-42.847518,Star,Col,6.67,,,,,,,G5V,1.458814260275347,0.673,,1,30403,30403,,,,,,,,,,,,,
